SectionName,BedNum,lith,lithName,thickness,BedID,Note,PictureName,base,top
SL8.csv,1,1,sand,6,,,,0,0.06
SL8.csv,2,0,mud,8,,,,0.06,0.14
SL8.csv,3,1,sand,8,,,,0.14,0.22
SL8.csv,4,0,mud,7,,,,0.22,0.29
SL8.csv,5,1,sand,8,,,,0.29,0.37
SL8.csv,6,0,mud,10,,,,0.37,0.47
SL8.csv,7,1,sand,8,,,,0.47,0.55
SL8.csv,8,0,mud,14,,,,0.55,0.69
SL8.csv,9,1,sand,7,,,,0.69,0.76
SL8.csv,10,0,mud,7,,,,0.76,0.83
SL8.csv,11,1,sand,1,,,,0.83,0.84
SL8.csv,12,0,mud,7,,,,0.84,0.91
SL8.csv,13,1,sand,7,,,,0.91,0.98
SL8.csv,14,0,mud,24,,,,0.98,1.22
SL8.csv,15,1,sand,13,,,,1.22,1.35
SL8.csv,16,0,mud,54,,,,1.35,1.89
SL8.csv,17,1,sand,6,,,,1.89,1.95
SL8.csv,18,0,mud,10,,,,1.95,2.05
SL8.csv,19,1,sand,11,,,,2.05,2.16
SL8.csv,20,0,mud,8,,,,2.16,2.24
SL8.csv,21,1,sand,11,,,,2.24,2.35
SL8.csv,22,0,mud,34,,,,2.35,2.69
SL8.csv,23,1,sand,6,,,,2.69,2.75
SL8.csv,24,0,mud,7,,,,2.75,2.82
SL8.csv,25,1,sand,10,,,,2.82,2.92
SL8.csv,26,0,mud,22,,,,2.92,3.14
SL8.csv,27,1,sand,6,,,,3.14,3.2
SL8.csv,28,0,mud,6,,,,3.2,3.26
SL8.csv,29,1,sand,12,,,,3.26,3.38
SL8.csv,30,0,mud,6,,,,3.38,3.44
SL8.csv,31,1,sand,12,,,,3.44,3.56
SL8.csv,32,0,mud,8,,,,3.56,3.64
SL8.csv,33,1,sand,7,,,,3.64,3.71
SL8.csv,34,0,mud,10,,,,3.71,3.81
SL8.csv,35,1,sand,4,,,,3.81,3.85
SL8.csv,36,0,mud,47,,,,3.85,4.32
SL8.csv,37,1,sand,5,,,,4.32,4.37
SL8.csv,38,0,mud,7,,,,4.37,4.44
SL8.csv,39,1,sand,6,,,,4.44,4.5
SL8.csv,40,0,mud,15,,,,4.5,4.65
SL8.csv,41,1,sand,5,,,,4.65,4.7
SL8.csv,42,0,mud,23,,,,4.7,4.93
SL8.csv,43,1,sand,8,,,,4.93,5.01
SL8.csv,44,0,mud,9,,,,5.01,5.1
SL8.csv,45,1,sand,4,,,,5.1,5.14
SL8.csv,46,0,mud,47,,,,5.14,5.61
SL8.csv,47,1,sand,2,,,,5.61,5.63
SL8.csv,48,0,mud,10,,,,5.63,5.73
SL8.csv,49,1,sand,48,1,,,5.73,6.21
SL8.csv,50,0,mud,178,,,,6.21,7.99
SL8.csv,51,1,sand,1,,,,7.99,8
SL8.csv,52,0,mud,15,,,,8,8.15
SL8.csv,53,1,sand,1,,,,8.15,8.16
SL8.csv,54,0,mud,6,,,,8.16,8.22
SL8.csv,55,1,sand,4,,,,8.22,8.26
SL8.csv,56,0,mud,7,,,,8.26,8.33
SL8.csv,57,1,sand,1,,,,8.33,8.34
SL8.csv,58,0,mud,5,,,,8.34,8.39
SL8.csv,59,1,sand,13,,,,8.39,8.52
SL8.csv,60,0,mud,15,,,,8.52,8.67
SL8.csv,61,1,sand,3,,,,8.67,8.7
SL8.csv,62,0,mud,6,,,,8.7,8.76
SL8.csv,63,1,sand,5,,,,8.76,8.81
SL8.csv,64,0,mud,12,,,,8.81,8.93
SL8.csv,65,1,sand,5,,,,8.93,8.98
SL8.csv,66,0,mud,7,,,,8.98,9.05
SL8.csv,67,1,sand,1,,,,9.05,9.06
SL8.csv,68,0,mud,4,,,,9.06,9.1
SL8.csv,69,1,sand,2,,,,9.1,9.12
SL8.csv,70,0,mud,6,,,,9.12,9.18
SL8.csv,71,1,sand,3,,,,9.18,9.21
SL8.csv,72,0,mud,16,,,,9.21,9.37
SL8.csv,73,1,sand,7,,,,9.37,9.44
SL8.csv,74,0,mud,40,,,,9.44,9.84
SL8.csv,75,1,sand,7,,,,9.84,9.91
SL8.csv,76,0,mud,8,,,,9.91,9.99
SL8.csv,77,1,sand,4,,,,9.99,10.03
SL8.csv,78,0,mud,10,,,,10.03,10.13
SL8.csv,79,1,sand,1,,,,10.13,10.14
SL8.csv,80,0,mud,9,,,,10.14,10.23
SL8.csv,81,1,sand,3,,,,10.23,10.26
SL8.csv,82,0,mud,13,,,,10.26,10.39
SL8.csv,83,1,sand,3,,,,10.39,10.42
SL8.csv,84,0,mud,13,,,,10.42,10.55
SL8.csv,85,1,sand,4,,,,10.55,10.59
SL8.csv,86,0,mud,20,,,,10.59,10.79
SL8.csv,87,1,sand,4,,,,10.79,10.83
SL8.csv,88,0,mud,10,,,,10.83,10.93
SL8.csv,89,1,sand,6,,,,10.93,10.99
SL8.csv,90,0,mud,5,,,,10.99,11.04
SL8.csv,91,1,sand,1,,,,11.04,11.05
