SectionName,BedNum,lith,lithName,thickness,BedID,Note,PictureName,base,top
SL7.csv,1,1,sand,7,,,,0,0.07
SL7.csv,2,0,mud,6,,,,0.07,0.13
SL7.csv,3,1,sand,9,,,,0.13,0.22
SL7.csv,4,0,mud,78,,,,0.22,1
SL7.csv,5,1,sand,5,,,,1,1.05
SL7.csv,6,0,mud,8,,,,1.05,1.13
SL7.csv,7,1,sand,4,,,,1.13,1.17
SL7.csv,8,0,mud,49,,,,1.17,1.66
SL7.csv,9,1,sand,5,,,,1.66,1.71
SL7.csv,10,0,mud,9,,,,1.71,1.8
SL7.csv,11,1,sand,2,,,,1.8,1.82
SL7.csv,12,0,mud,46,,,,1.82,2.28
SL7.csv,13,1,sand,2,,,,2.28,2.3
SL7.csv,14,0,mud,7,,,,2.3,2.37
SL7.csv,15,1,sand,2,,,,2.37,2.39
SL7.csv,16,0,mud,12,,,,2.39,2.51
SL7.csv,17,1,sand,40,1,49.1797769 n 64.8281877 w,,2.51,2.91
SL7.csv,18,0,mud,286,,,lownetwest.csv_18,2.91,5.77
SL7.csv,19,1,sand,2,,,,5.77,5.79
SL7.csv,20,0,mud,10,,,,5.79,5.89
SL7.csv,21,1,sand,8,2,,,5.89,5.97
SL7.csv,22,0,mud,12,,,,5.97,6.09
SL7.csv,23,1,sand,2,,,,6.09,6.11
SL7.csv,24,0,mud,6,,,,6.11,6.17
SL7.csv,25,1,sand,4,,,,6.17,6.21
SL7.csv,26,0,mud,10,,,,6.21,6.31
SL7.csv,27,1,sand,4,,,,6.31,6.35
SL7.csv,28,0,mud,12,,,,6.35,6.47
SL7.csv,29,1,sand,1,,,,6.47,6.48
SL7.csv,30,0,mud,7,,,,6.48,6.55
SL7.csv,31,1,sand,2,,,,6.55,6.57
SL7.csv,32,0,mud,17,,,,6.57,6.74
SL7.csv,33,1,sand,7,,,,6.74,6.81
SL7.csv,34,0,mud,36,,,,6.81,7.17
SL7.csv,35,1,sand,5,,,,7.17,7.22
SL7.csv,36,0,mud,6,,,,7.22,7.28
SL7.csv,37,1,sand,2,,,,7.28,7.3
SL7.csv,38,0,mud,28,,,,7.3,7.58
SL7.csv,39,1,sand,2,,,,7.58,7.6
SL7.csv,40,0,mud,33,,,,7.6,7.93
SL7.csv,41,1,sand,4,,,,7.93,7.97
SL7.csv,42,0,mud,23,,,,7.97,8.2
SL7.csv,43,1,sand,4,,,,8.2,8.24
SL7.csv,44,0,mud,11,,,,8.24,8.35
SL7.csv,45,1,sand,4,,,,8.35,8.39
SL7.csv,46,0,mud,7,,,,8.39,8.46
SL7.csv,47,1,sand,2,,,,8.46,8.48
SL7.csv,48,0,mud,9,,,,8.48,8.57
SL7.csv,49,1,sand,6,3,,,8.57,8.63
SL7.csv,50,0,mud,22,,,,8.63,8.85
SL7.csv,51,1,sand,2,,,,8.85,8.87
SL7.csv,52,0,mud,105,,,,8.87,9.92
SL7.csv,53,1,sand,1,,discontinuous ripples ,,9.92,9.93
SL7.csv,54,0,mud,39,,,,9.93,10.32
SL7.csv,55,1,sand,2,,,,10.32,10.34
SL7.csv,56,0,mud,47,,,,10.34,10.81
SL7.csv,57,1,sand,3,,,,10.81,10.84
SL7.csv,58,0,mud,28,,,,10.84,11.12
SL7.csv,59,1,sand,2,,,,11.12,11.14
SL7.csv,60,0,mud,4,,,,11.14,11.18
SL7.csv,61,1,sand,3,,,,11.18,11.21
SL7.csv,62,0,mud,14,,,,11.21,11.35
SL7.csv,63,1,sand,2,,,,11.35,11.37
SL7.csv,64,0,mud,7,,,,11.37,11.44
SL7.csv,65,1,sand,4,,,,11.44,11.48
SL7.csv,66,0,mud,6,,,,11.48,11.54
SL7.csv,67,1,sand,27,4,bucket lid on bed 4,lownetwest.csv_67,11.54,11.81
SL7.csv,68,0,mud,19,,,,11.81,12
SL7.csv,69,1,sand,18,,,,12,12.18
SL7.csv,70,0,mud,39,,,,12.18,12.57
SL7.csv,71,1,sand,12,,,,12.57,12.69
SL7.csv,72,0,mud,11,,,,12.69,12.8
SL7.csv,73,1,sand,3,,,,12.8,12.83
SL7.csv,74,0,mud,14,,,,12.83,12.97
SL7.csv,75,1,sand,2,,,,12.97,12.99
SL7.csv,76,0,mud,67,,,,12.99,13.66
SL7.csv,77,1,sand,2,,,,13.66,13.68
SL7.csv,78,0,mud,15,,,,13.68,13.83
SL7.csv,79,1,sand,1,,,,13.83,13.84
SL7.csv,80,0,mud,22,,,,13.84,14.06
SL7.csv,81,1,sand,3,,,,14.06,14.09
SL7.csv,82,0,mud,11,,,,14.09,14.2
SL7.csv,83,1,sand,5,,,,14.2,14.25
SL7.csv,84,0,mud,28,,,,14.25,14.53
SL7.csv,85,1,sand,20,5,,,14.53,14.73
SL7.csv,86,0,mud,75,,,,14.73,15.48
SL7.csv,87,1,sand,2,,,,15.48,15.5
SL7.csv,88,0,mud,21,,,,15.5,15.71
SL7.csv,89,1,sand,14,,,,15.71,15.85
SL7.csv,90,0,mud,23,,,,15.85,16.08
SL7.csv,91,1,sand,3,,,,16.08,16.11
SL7.csv,92,0,mud,26,,,,16.11,16.37
SL7.csv,93,1,sand,3,,,,16.37,16.4
SL7.csv,94,0,mud,68,,,,16.4,17.08
SL7.csv,95,1,sand,3,,,,17.08,17.11
SL7.csv,96,0,mud,10,,,,17.11,17.21
SL7.csv,97,1,sand,11,6,,,17.21,17.32
SL7.csv,98,0,mud,15,,,,17.32,17.47
SL7.csv,99,1,sand,1,,,,17.47,17.48
SL7.csv,100,0,mud,44,,,,17.48,17.92
SL7.csv,101,1,sand,14,7,,,17.92,18.06
SL7.csv,102,0,mud,22,,,,18.06,18.28
SL7.csv,103,1,sand,1,,,,18.28,18.29
SL7.csv,104,0,mud,49,,,,18.29,18.78
SL7.csv,105,0,mud,39,,,,18.78,19.17
SL7.csv,106,1,sand,1,,,,19.17,19.18
SL7.csv,107,0,mud,13,,,,19.18,19.31
SL7.csv,108,1,sand,24,8,bucket lid,lownetwest.csv_108,19.31,19.55
SL7.csv,109,0,mud,104,,,,19.55,20.59
SL7.csv,110,1,sand,1,,,,20.59,20.6
SL7.csv,111,0,mud,15,,,,20.6,20.75
SL7.csv,112,1,sand,5,,,,20.75,20.8
SL7.csv,113,0,mud,7,,,,20.8,20.87
SL7.csv,114,1,sand,18,,,,20.87,21.05
SL7.csv,115,0,mud,7,,,,21.05,21.12
SL7.csv,116,1,sand,10,,,,21.12,21.22
SL7.csv,117,0,mud,16,,,,21.22,21.38
SL7.csv,118,1,sand,2,,,,21.38,21.4
