SectionName,BedNum,lith,lithName,thickness,BedID,Note,PictureName,base,top
SL5.csv,1,1,sand,18,x2,,lukeandtombiglogsection.csv_1,0,0.18
SL5.csv,2,0,mud,68,,shale trail.csv,,0.18,0.86
SL5.csv,3,1,sand,18,x3,,,0.86,1.04
SL5.csv,4,0,mud,7,,,,1.04,1.11
SL5.csv,5,1,sand,18,x4,,,1.11,1.29
SL5.csv,6,1,sand,20,x5,climbing ripples, orange color,1.29,1.49
SL5.csv,7,0,mud,10,,,,1.49,1.59
SL5.csv,8,1,sand,28,x6,,,1.59,1.87
SL5.csv,9,0,mud,17,,,,1.87,2.04
SL5.csv,10,1,sand,25,x7,,lukeandtombiglogsection.csv_10,2.04,2.29
SL5.csv,11,0,mud,43,,,,2.29,2.72
SL5.csv,12,1,sand,13,,climbing ripples, silty,2.72,2.85
SL5.csv,13,1,sand,8,x8,,lukeandtombiglogsection.csv_13,2.85,2.93
SL5.csv,14,0,mud,61,,,,2.93,3.54
SL5.csv,15,1,sand,4,,,,3.54,3.58
SL5.csv,16,0,mud,48,,,,3.58,4.06
SL5.csv,17,1,sand,26,x9,,,4.06,4.32
SL5.csv,18,0,mud,30,,,,4.32,4.62
SL5.csv,19,1,sand,9,x10,,,4.62,4.71
SL5.csv,20,0,mud,21,,,,4.71,4.92
SL5.csv,21,1,sand,16,x11,climbing ripples ,,4.92,5.08
SL5.csv,22,0,mud,2,,,,5.08,5.1
SL5.csv,23,1,sand,21,x12,climbing ripples ,,5.1,5.31
SL5.csv,24,0,mud,9,,,,5.31,5.4
SL5.csv,25,1,sand,44,x13,super coarse base, wild bed!,5.4,5.84
SL5.csv,26,0,mud,9,,,,5.84,5.93
SL5.csv,27,1,sand,23,x14,,,5.93,6.16
SL5.csv,28,0,mud,15,,,,6.16,6.31
SL5.csv,29,1,sand,19,x15,climbing rippled ,,6.31,6.5
SL5.csv,30,0,mud,10,,,,6.5,6.6
SL5.csv,31,1,sand,15,x16,,,6.6,6.75
SL5.csv,32,0,mud,32,,,,6.75,7.07
SL5.csv,33,1,sand,15,x17,,,7.07,7.22
SL5.csv,34,0,mud,19,,,,7.22,7.41
SL5.csv,35,1,sand,14,,unnamed at this time ,,7.41,7.55
SL5.csv,36,0,mud,8,,,,7.55,7.63
SL5.csv,37,1,sand,14,x18,climbing ripples and  convolute bedding ,,7.63,7.77
SL5.csv,38,0,mud,251,,big mud section!,,7.77,10.28
SL5.csv,39,1,sand,6,x19,,lukeandtombiglogsection2.csv_14,10.28,10.34
SL5.csv,40,0,mud,41,,,,10.34,10.75
SL5.csv,41,2,other,3,,calcilutite ,lukeandtombiglogsection2.csv_16,10.75,10.78
SL5.csv,42,0,mud,60,,,,10.78,11.38
SL5.csv,43,1,sand,2,,,,11.38,11.4
SL5.csv,44,0,mud,6,,,,11.4,11.46
SL5.csv,45,2,other,24,a1,calcilutite ,lukeandtombiglogsection2.csv_20,11.46,11.7
SL5.csv,46,0,mud,53,,,,11.7,12.23
SL5.csv,47,2,other,28,a2,,,12.23,12.51
SL5.csv,48,0,mud,68,,contains thin sands, see photo,12.51,13.19
SL5.csv,49,1,sand,4,,,,13.19,13.23
SL5.csv,50,0,mud,6,,,,13.23,13.29
SL5.csv,51,1,sand,8,,,,13.29,13.37
SL5.csv,52,0,mud,10,,,,13.37,13.47
SL5.csv,53,1,sand,3,,,,13.47,13.5
SL5.csv,54,0,mud,15,,,,13.5,13.65
SL5.csv,55,1,sand,5,,,,13.65,13.7
SL5.csv,56,0,mud,52,,thin sands in mud interval ,lukeandtombiglogsection2.csv_31,13.7,14.22
SL5.csv,57,1,sand,3,,,,14.22,14.25
