SectionName,BedNum,lith,lithName,thickness,BedID,Note,PictureName,base,top
SL6.csv,1,1,sand,45,x1,,modern art driftwood.csv_1,0,0.45
SL6.csv,2,0,mud,30,,,,0.45,0.75
SL6.csv,3,1,sand,2,,,,0.75,0.77
SL6.csv,4,0,mud,18,,,,0.77,0.95
SL6.csv,5,1,sand,14,,muddy sand,,0.95,1.09
SL6.csv,6,0,mud,59,,,,1.09,1.68
SL6.csv,7,1,sand,16,x2,lat. 49.2289893 long. 65.1038583,,1.68,1.84
SL6.csv,8,0,mud,77,,shale trail,,1.84,2.61
SL6.csv,9,1,sand,11,,,,2.61,2.72
SL6.csv,10,0,mud,9,,,,2.72,2.81
SL6.csv,11,1,sand,23,x4,,,2.81,3.04
SL6.csv,12,1,sand,25,x5,climbing ripples bed,,3.04,3.29
SL6.csv,13,0,mud,9,,,,3.29,3.38
SL6.csv,14,1,sand,29,,,,3.38,3.67
SL6.csv,15,0,mud,19,,,,3.67,3.86
SL6.csv,16,1,sand,26,,,,3.86,4.12
SL6.csv,17,0,mud,56,,,,4.12,4.68
SL6.csv,18,1,sand,9,,,,4.68,4.77
SL6.csv,19,0,mud,60,,,,4.77,5.37
SL6.csv,20,1,sand,8,,,,5.37,5.45
SL6.csv,21,0,mud,52,,,,5.45,5.97
SL6.csv,22,1,sand,23,,,,5.97,6.2
SL6.csv,23,0,mud,21,,,,6.2,6.41
SL6.csv,24,1,sand,10,,,,6.41,6.51
SL6.csv,25,0,mud,8,,,,6.51,6.59
SL6.csv,26,1,sand,2,,,,6.59,6.61
SL6.csv,27,0,mud,4,,,,6.61,6.65
SL6.csv,28,1,sand,9,,,,6.65,6.74
SL6.csv,29,0,mud,8,,,,6.74,6.82
SL6.csv,30,1,sand,6,,,,6.82,6.88
SL6.csv,31,0,mud,1,,,,6.88,6.89
SL6.csv,32,1,sand,16,,climbing ripples bed,,6.89,7.05
SL6.csv,33,0,mud,1,,,,7.05,7.06
SL6.csv,34,1,sand,7,,,,7.06,7.13
SL6.csv,35,0,mud,6,,,,7.13,7.19
SL6.csv,36,1,sand,39,,,,7.19,7.58
SL6.csv,37,0,mud,4,,,,7.58,7.62
SL6.csv,38,1,sand,17,x14,,,7.62,7.79
SL6.csv,39,0,mud,5,,,,7.79,7.84
SL6.csv,40,1,sand,3,,,,7.84,7.87
SL6.csv,41,0,mud,6,,,,7.87,7.93
